energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,mode,uri,name
0.787,0.142,134.981,0.031,0.0492,0.0,4,0.601,0,175163,-6.178,0.525,1,spotify:track:3t4KHjd8uQpJJ2fa0fRIpR,High
0.921,0.523,138.996,0.0407,0.000842,0.00116,4,0.561,11,211559,-4.859,0.903,1,spotify:track:6BrWjH8lPj0pxSVwNomB22,Get Away
0.729,0.226,112.535,0.029,0.000983,0.000107,4,0.673,0,233588,-5.664,0.482,1,spotify:track:2wJ1eOCIBwoQiN7xQtrTAY,GROWING UP IS _____
0.697,0.0748,136.039,0.031,0.0908,1.39e-05,4,0.627,5,225848,-7.793,0.398,1,spotify:track:1DwiuGq5AyDxjt3JZZCKxL,If I Didn't Have You
0.708,0.119,75.002,0.0904,0.186,0.0,4,0.587,11,203476,-5.865,0.278,1,spotify:track:13gXbG427Sf7ldK0vDVwbO,Heart Stops
0.714,0.126,157.967,0.0475,0.421,0.00131,4,0.61,3,202040,-8.518,0.453,1,spotify:track:0L85ulFcACgbFRdIXJkoZy,Acetone
0.486,0.135,72.536,0.0425,0.274,0.0,4,0.645,0,208187,-7.299,0.453,1,spotify:track:2gA74HvN6NKFrhgzpd5oNE,Line By Line (feat. Maren Morris)
0.791,0.083,115.915,0.0535,0.00188,3.72e-06,4,0.622,7,225960,-6.106,0.494,1,spotify:track:6PdCbJwSOeovMX7kfwiAxb,Message In A Bottle (Taylor's Version) (From The Vault)
0.642,0.0926,145.991,0.0389,0.00929,0.0149,4,0.615,9,245813,-5.773,0.361,0,spotify:track:2JNL5Z3DNCzGT2IkYaZOlh,Nightmare - Reprise
0.923,0.158,181.074,0.138,0.00282,0.0,4,0.497,2,198000,-4.512,0.663,1,spotify:track:0aZJGkkXR3DgaFqo5sB8ot,Weightless
0.857,0.368,122.003,0.07,0.0827,2.56e-06,4,0.668,10,325500,-2.887,0.743,0,spotify:track:72IbklY7YeZffWqul0BMep,Lost In Paradise (Jujutsu Kaisen)
0.653,0.321,111.974,0.0258,0.0568,0.000142,4,0.657,9,148822,-8.525,0.624,1,spotify:track:5XPo15e5ICs6NvSMn44pTF,Malibu
0.662,0.13,167.809,0.0345,0.0147,0.0,4,0.407,8,217267,-5.117,0.334,1,spotify:track:12MCVDBiqeSA4iqHurkEC3,Light Stream
0.287,0.104,138.385,0.0313,0.895,2.4e-06,3,0.304,0,205153,-13.005,0.252,1,spotify:track:1MU4s8N2sHju0bFsDSmTHZ,Just A Day
0.725,0.102,91.035,0.0453,0.284,2.64e-06,4,0.59,5,169810,-8.037,0.453,1,spotify:track:2ZFf2JAMZkO9IUL1e2hbVO,Ramona
0.357,0.14,80.054,0.0401,0.865,0.000624,4,0.618,11,252375,-11.062,0.553,1,spotify:track:3ANoysTDtk5sUv54J5esM5,ohmygosh - Acoustic
0.659,0.193,114.011,0.0285,0.148,0.0313,4,0.745,7,154856,-6.593,0.807,1,spotify:track:21jkiLxzuDmn1DQGrNpMdS,amnesia
